Serial # in Treebank,Citation,Greek text,English,Lemmas,,,,,,,,,,,,,,,,,,,,,,Serial # in Treebank,Citation,Greek text,English,Lemmas
2279347,16.239-16.241,"[16.239] αὐτὸς μὲν γὰρ ἐγὼ μενέω νηῶν ἐν ἀγῶνι, [16.240] ἀλλ᾽ ἕταρον πέμπω πολέσιν μετὰ Μυρμιδόνεσσι [16.241] μάρνασθαι:","Myself verily will I abide in the gathering of the ships, but my comrade am I sending forth amid the host of the Myrmidons to war:",αὐτός μέν γάρ ἐγώ μένω ναῦς ἐν ἀγών ἀλλά ἑταῖρος πέμπω πολύς μετά Μυρμιδόνες μάρναμαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2279348,16.241-16.245,"[16.241] τῷ κῦδος ἅμα πρόες εὐρύοπα Ζεῦ, [16.242] θάρσυνον δέ οἱ ἦτορ ἐνὶ φρεσίν, ὄφρα καὶ Ἕκτωρ [16.243] εἴσεται ἤ ῥα καὶ οἶος ἐπίστηται πολεμίζειν [16.244] ἡμέτερος θεράπων, ἦ οἱ τότε χεῖρες ἄαπτοι [16.245] μαίνονθ᾽, ὁππότ᾽ ἐγώ περ ἴω μετὰ μῶλον Ἄρηος.","with him do thou send forth glory, O Zeus, whose voice is borne afar, and make bold the heart in his breast, to the end that Hector, too, may know whether even alone my squire hath skill to fight, or whether his hands then only rage invincible, whenso I enter the turmoil of Ares.",ὁ κῦδος ἅμα προίημι εὐρύοπα Ζεύς θαρσύνω δέ ἕ ἦτορ ἐν φρήν ὄφρα καί Ἕκτωρ οἶδα ἤ ἄρα καί οἶος ἐπίσταμαι πολεμίζω ἡμέτερος θεράπων ἤ ἕ τότε χείρ ἄαπτος μαίνομαι ὁπότε ἐγώ πέρ εἶμι μετά μῶλος Ἄρης,,,,,,,,,,,,,,,,,,,,,,,,,,
2279349,16.246-16.248,"[16.246] αὐτὰρ ἐπεί κ᾽ ἀπὸ ναῦφι μάχην ἐνοπήν τε δίηται, [16.247] ἀσκηθής μοι ἔπειτα θοὰς ἐπὶ νῆας ἵκοιτο [16.248] τεύχεσί τε ξὺν πᾶσι καὶ ἀγχεμάχοις ἑτάροισιν.","But when away from the ships he hath driven war and the din of war, thea all-unscathed let him come back to the swift ships with all his arms, and his comrades that fight in close combat.",ἀτάρ ἐπεί ἄν ἀπό ναῦς μάχη ἐνοπή τε διίημι ἀσκηθής ἐγώ ἔπειτα θοός ἐπί ναῦς ἱκνέομαι τεῦχος τε σύν πᾶς καί ἀγχέμαχος ἑταῖρος,,,,,,,,,,,,,,,,,,,,,,,,,,
2279350,16.249,"[16.249] ὣς ἔφατ᾽ εὐχόμενος, τοῦ δ᾽ ἔκλυε μητίετα Ζεύς.","So spake he in prayer, and Zeus, the counsellor, heard him,",ὡς φημί εὔχομαι ὁ δέ κλύω μητίετα Ζεύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2279351,16.25,"[16.250] τῷ δ᾽ ἕτερον μὲν ἔδωκε πατήρ, ἕτερον δ᾽ ἀνένευσε:","and a part the Father granted him, and a part denied.",ὁ δέ ἕτερος μέν δίδωμι πατήρ ἕτερος δέ ἀνανεύω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279352,16.251-16.252,"[16.251] νηῶν μέν οἱ ἀπώσασθαι πόλεμόν τε μάχην τε [16.252] δῶκε, σόον δ᾽ ἀνένευσε μάχης ἐξαπονέεσθαι.",That Patroclus should thrust back the war and battle from the ships he granted; but that he should return safe from out the battle he denied.,ναῦς μέν ἕ ἀπωθέω πόλεμος τε μάχη τε δίδωμι σῶς δέ ἀνανεύω μάχη ἐξαπονέομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2279353,16.253-16.256,"[16.253] ἤτοι ὃ μὲν σπείσας τε καὶ εὐξάμενος Διὶ πατρὶ [16.254] ἂψ κλισίην εἰσῆλθε, δέπας δ᾽ ἀπέθηκ᾽ ἐνὶ χηλῷ, [16.255] στῆ δὲ πάροιθ᾽ ἐλθὼν κλισίης, ἔτι δ᾽ ἤθελε θυμῷ [16.256] εἰσιδέειν Τρώων καὶ Ἀχαιῶν φύλοπιν αἰνήν.","Achilles then, when he had poured libation and made prayer to father Zeus, went again into his tent, and laid the cup away in the chest, and came forth and stood in front of the hut; for still his heart was fain to look upon the dread conflict of Trojans and Achaeans.",ἤτοι ὁ μέν σπένδω τε καί εὔχομαι Ζεύς πατήρ ἄψ κλισία εἰσέρχομαι δέπας δέ ἀποτίθημι ἐν χηλός ἵστημι δέ πάροιθε ἔρχομαι κλισία ἔτι δέ ἐθέλω θυμός εἰσεῖδον Τρώς καί Ἀχαιός φύλοπις αἰνός,,,,,,,,,,,,,,,,,,,,,,,,,,
2279354,16.257-16.258,"[16.257] οἳ δ᾽ ἅμα Πατρόκλῳ μεγαλήτορι θωρηχθέντες [16.258] ἔστιχον, ὄφρ᾽ ἐν Τρωσὶ μέγα φρονέοντες ὄρουσαν.","But they that were arrayed together with great-hearted Patroclus marched forth, until with high spirits they leapt upon the Trojans.",ὁ δέ ἅμα Πάτροκλος μεγαλήτωρ θωρήσσω στείχω ὄφρα ἐν Τρώς μέγας φρονέω ὀρούω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279355,16.259-16.262,"[16.259] αὐτίκα δὲ σφήκεσσιν ἐοικότες ἐξεχέοντο [16.260] εἰνοδίοις, οὓς παῖδες ἐριδμαίνωσιν ἔθοντες [16.261] αἰεὶ κερτομέοντες ὁδῷ ἔπι οἰκί᾽ ἔχοντας [16.262] νηπίαχοι:","Straightway they poured forth like wasps of the wayside, that boys are wont to stir 1 to wrath, ever tormenting them in their nests beside the way, foolish that they are;",αὐτίκα δέ σφήξ ἔοικα ἐκχέω ἐνόδιος ὅς παῖς ἐριδμαίνω ἔθω ἀεί κερτομέω ὁδός2 ἐπί οἰκίον ἔχω νηπίαχος,,,,,,,,,,,,,,,,,,,,,,,,,,
2279356,16.262,[16.262] ξυνὸν δὲ κακὸν πολέεσσι τιθεῖσι.,and a common evil they make for many.,ξυνός δέ κακός πολύς τίθημι,,,,,,,,,,,,,,,,,,,,,,,,,,
2279357,16.263-16.265,"[16.263] τοὺς δ᾽ εἴ περ παρά τίς τε κιὼν ἄνθρωπος ὁδίτης [16.264] κινήσῃ ἀέκων, οἳ δ᾽ ἄλκιμον ἦτορ ἔχοντες [16.265] πρόσσω πᾶς πέτεται καὶ ἀμύνει οἷσι τέκεσσι.","And the wasps, if so be some wayfaring ran as he passeth by rouse them unwittingly, fly forth one and all in the valour of their hearts, and fight each in defence of his young;",ὁ δέ εἰ πέρ παρά τις τε κίω ἄνθρωπος ὁδίτης κινέω ἀέκων ὅς δέ ἄλκιμος ἦτορ ἔχω πρόσω πᾶς πέτομαι καί ἀμύνω ἑός τέκος,,,,,,,,,,,,,,,,,,,,,,,,,,
2279358,16.266-16.267,[16.266] τῶν τότε Μυρμιδόνες κραδίην καὶ θυμὸν ἔχοντες [16.267] ἐκ νηῶν ἐχέοντο:,"having a heart and spirit like theirs the Myrmidons then poured forth from the ships,",ὁ τότε Μυρμιδόνες καρδία καί θυμός ἔχω ἐκ ναῦς χέω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279359,16.267,[16.267] βοὴ δ᾽ ἄσβεστος ὀρώρει.,and a cry unquenchable arose.,βοή δέ ἄσβεστος ὄρνυμι,,,,,,,,,,,,,,,,,,,,,,,,,,
2279360,16.268,[16.268] Πάτροκλος δ᾽ ἑτάροισιν ἐκέκλετο μακρὸν ἀΰσας:,But Patroclus called to his comrades with a loud shout:,Πάτροκλος δέ ἑταῖρος κέλομαι μακρός αὔω2,,,,,,,,,,,,,,,,,,,,,,,,,,
2279361,16.269-16.274,"[16.269] Μυρμιδόνες ἕταροι Πηληϊάδεω Ἀχιλῆος [16.270] ἀνέρες ἔστε φίλοι, μνήσασθε δὲ θούριδος ἀλκῆς, [16.271] ὡς ἂν Πηλεΐδην τιμήσομεν, ὃς μέγ᾽ ἄριστος [16.272] Ἀργείων παρὰ νηυσὶ καὶ ἀγχέμαχοι θεράποντες, [16.273] γνῷ δὲ καὶ Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων [16.274] ἣν ἄτην, ὅ τ᾽ ἄριστον Ἀχαιῶν οὐδὲν ἔτισεν. [0] [1] [2]","Myrmidons, ye comrades of Achilles, son of Peleus, be men, my friends, and bethink you of furious valour, to the end that we may win honour for the son of Peleus, that is far the best of the Argives by the ships, himself and his squires that fight in close combat; and that the son of Atreus, wide-ruling Agamemnon, may know his blindness in that he honoured not at all the best of the Achaeans.",Μυρμιδόνες ἑταῖρος Πηλείδης Ἀχιλλεύς ἀνήρ εἰμί φίλος μιμνήσκω δέ θοῦρος ἀλκή ὡς ἄν Πηλείδης τιμάω ὅς μέγας ἄριστος Ἀργεῖος παρά ναῦς καί ἀγχέμαχος θεράπων γιγνώσκω δέ καί Ἀτρείδης εὐρύς κρείων Ἀγαμέμνων ἑός ἄτη ὅς τε ἄριστος Ἀχαιός οὐδείς τίνω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279362,16.275-16.276,"[16.275] ὣς εἰπὼν ὄτρυνε μένος καὶ θυμὸν ἑκάστου, [16.276] ἐν δ᾽ ἔπεσον Τρώεσσιν ἀολλέες:","So saying, he roused the strength and spirit of every man, and on the Trojans they fell all in a throng,",ὡς εἶπον ὀτρύνω μένος καί θυμός ἕκαστος ἐν δέ πίπτω Τρώς ἀολλής,,,,,,,,,,,,,,,,,,,,,,,,,,
2279363,16.276-16.277,[16.276] ἀμφὶ δὲ νῆες [16.277] σμερδαλέον κονάβησαν ἀϋσάντων ὑπ᾽ Ἀχαιῶν.,and round about them the ships echoed wondrously beneath the shouting of the Achaeans.,ἀμφί δέ ναῦς σμερδαλέος κοναβέω αὔω2 ὑπό Ἀχαιός,,,,,,,,,,,,,,,,,,,,,,,,,,
2279364,16.278-16.282,"[16.278] Τρῶες δ᾽ ὡς εἴδοντο Μενοιτίου ἄλκιμον υἱὸν [16.279] αὐτὸν καὶ θεράποντα σὺν ἔντεσι μαρμαίροντας, [16.280] πᾶσιν ὀρίνθη θυμός, ἐκίνηθεν δὲ φάλαγγες [16.281] ἐλπόμενοι παρὰ ναῦφι ποδώκεα Πηλεΐωνα [16.282] μηνιθμὸν μὲν ἀπορρῖψαι, φιλότητα δ᾽ ἑλέσθαι:","But when the Trojans saw the valiant son of Menoetius, himself and his squire, shining in their armour, the heart of each man was stirred, and their battalions were shaken, for they deemed that by the ships the swift-footed son of Peleus had cast aside his wrath and had chosen friendliness;",Τρώς δέ ὡς εἴδομαι Μενοίτιος ἄλκιμος υἱός αὐτός καί θεράπων σύν ἔντεα μαρμαίρω πᾶς ὀρίνω θυμός κινέω δέ φάλαγξ ἔλπω παρά ναῦς ποδώκης Πηλεύς μηνιθμός μέν ἀπορρίπτω φιλότης δέ αἱρέω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279365,16.283,[16.283] πάπτηνεν δὲ ἕκαστος ὅπῃ φύγοι αἰπὺν ὄλεθρον.,and each man gazed about to see how he might escape utter destruction.,παπταίνω δέ ἕκαστος ὅπη φεύγω αἰπύς ὄλεθρος,,,,,,,,,,,,,,,,,,,,,,,,,,
2279366,16.284-16.288,"[16.284] Πάτροκλος δὲ πρῶτος ἀκόντισε δουρὶ φαεινῷ [16.285] ἀντικρὺ κατὰ μέσσον, ὅθι πλεῖστοι κλονέοντο, [16.286] νηῒ πάρα πρυμνῇ μεγαθύμου Πρωτεσιλάου, [16.287] καὶ βάλε Πυραίχμην, ὃς Παίονας ἱπποκορυστὰς [16.288] ἤγαγεν ἐξ Ἀμυδῶνος ἀπ᾽ Ἀξιοῦ εὐρὺ ῥέοντος:","Then Patroclus was first to cast with his bright spear straight into the midst where men thronged the thickest, even by the stern of the ship of great-souled Protesilaus, and smote Pyraechmes, that had led the Paeonians, lords of chariots, out of Amydon, from the wide-flowing Axius.",Πάτροκλος δέ πρῶτος ἀκοντίζω δόρυ φαεινός ἀντικρύ κατά μέσος ὅθι πλεῖστος κλονέω ναῦς παρά πρυμνός μεγάθυμος Πρωτεσίλαος καί βάλλω Πυραίχμης ὅς Παίων ἱπποκορυστής ἄγω ἐκ Ἀμυδών ἀπό Ἀξιός εὐρύς ῥέω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279367,16.289,[16.289] τὸν βάλε δεξιὸν ὦμον:,"Him he smote on the right shoulder,",ὁ βάλλω δεξιός ὦμος,,,,,,,,,,,,,,,,,,,,,,,,,,
2279368,16.289-16.291,"[16.289] ὃ δ᾽ ὕπτιος ἐν κονίῃσι [16.290] κάππεσεν οἰμώξας, ἕταροι δέ μιν ἀμφεφόβηθεν [16.291] Παίονες: [0]","and backward in the dust he fell with a groan, and about him his comrades were driven in rout, even the Paeonians,",ὁ δέ ὕπτιος ἐν κονία καταπίπτω οἰμώζω ἑταῖρος δέ μιν ἀμφιφοβέομαι Παίων,,,,,,,,,,,,,,,,,,,,,,,,,,
2279369,16.291-16.292,"[16.291] ἐν γὰρ Πάτροκλος φόβον ἧκεν ἅπασιν [16.292] ἡγεμόνα κτείνας, ὃς ἀριστεύεσκε μάχεσθαι.","for upon them all had Patroclus sent panic, when he slew their leader that was pre-eminent in fight.",ἐν γάρ Πάτροκλος φόβος ἵημι ἅπας ἡγεμών κτείνω ὅς ἀριστεύω μάχομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2279370,16.293,"[16.293] ἐκ νηῶν δ᾽ ἔλασεν, κατὰ δ᾽ ἔσβεσεν αἰθόμενον πῦρ.","From out the ships then he drave them, and quenched the blazing fire.",ἐκ ναῦς δέ ἐλαύνω κατά δέ σβέννυμι αἴθω πῦρ,,,,,,,,,,,,,,,,,,,,,,,,,,
2279371,16.294,[16.294] ἡμιδαὴς δ᾽ ἄρα νηῦς λίπετ᾽ αὐτόθι:,"And half-burnt the ship was left there,",ἡμιδαής δέ ἄρα ναῦς λείπω αὐτόθι,,,,,,,,,,,,,,,,,,,,,,,,,,
2279372,16.294-16.295,[16.294] τοὶ δὲ φόβηθεν [16.295] Τρῶες θεσπεσίῳ ὁμάδῳ:,"but the Trojans were driven in rout with a wondrous din,",ὁ δέ φοβέω Τρώς θεσπέσιος ὅμαδος,,,,,,,,,,,,,,,,,,,,,,,,,,
2279373,16.295-16.296,[16.295] Δαναοὶ δ᾽ ἐπέχυντο [16.296] νῆας ἀνὰ γλαφυράς:,"and the Danaans poured in among the hollow ships,",Δαναοί δέ ἐπιχέω ναῦς ἀνά γλαφυρός,,,,,,,,,,,,,,,,,,,,,,,,,,
2279374,16.296,[16.296] ὅμαδος δ᾽ ἀλίαστος ἐτύχθη.,and a ceaseless din arose.,ὅμαδος δέ ἀλίαστος τεύχω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279375,16.297-16.302,"[16.297] ὡς δ᾽ ὅτ᾽ ἀφ᾽ ὑψηλῆς κορυφῆς ὄρεος μεγάλοιο [16.298] κινήσῃ πυκινὴν νεφέλην στεροπηγερέτα Ζεύς, [16.299] ἔκ τ᾽ ἔφανεν πᾶσαι σκοπιαὶ καὶ πρώονες ἄκροι [16.300] καὶ νάπαι, οὐρανόθεν δ᾽ ἄρ᾽ ὑπερράγη ἄσπετος αἰθήρ, [16.301] ὣς Δαναοὶ νηῶν μὲν ἀπωσάμενοι δήϊον πῦρ [16.302] τυτθὸν ἀνέπνευσαν, πολέμου δ᾽ οὐ γίγνετ᾽ ἐρωή:","And as when from the high crest of a great mountain Zeus, that gathereth the lightnings, moveth a dense cloud away, and forth to view appear all mountain peaks, and high headlands, and glades, and from heaven breaketh open the infinite air; even so the Danaans, when they had thrust back from the ships consuming fire, had respite for a little time; howbeit there was no ceasing from war.",ὡς δέ ὅτι2 ἀπό ὑψηλός κορυφή ὄρος μέγας κινέω πυκνός νεφέλη στεροπηγερέτης Ζεύς ἐκ τε φαίνω πᾶς σκοπιά καί πρών ἄκρος καί νάπη οὐρανόθεν δέ ἄρα ὑπορρήγνυμι ἄσπετος αἰθήρ ὡς Δαναοί ναῦς μέν ἀπωθέω δάιος πῦρ τυτθός ἀναπνέω πόλεμος δέ οὐ γίγνομαι ἐρωή,,,,,,,,,,,,,,,,,,,,,,,,,,
2279376,16.303-16.305,"[16.303] οὐ γάρ πώ τι Τρῶες ἀρηϊφίλων ὑπ᾽ Ἀχαιῶν [16.304] προτροπάδην φοβέοντο μελαινάων ἀπὸ νηῶν, [16.305] ἀλλ᾽ ἔτ᾽ ἄρ᾽ ἀνθίσταντο, νεῶν δ᾽ ὑπόεικον ἀνάγκῃ.","For not yet were the Trojans driven in headlong rout by the Achaeans, dear to Ares, from the black ships, but still they sought to withstand them, and gave ground from the ships perforce.",οὐ γάρ πω τις Τρώς ἀρηίφιλος ὑπό Ἀχαιός προτροπάδην φοβέω μέλας ἀπό ναῦς ἀλλά ἔτι ἄρα ἀνθίστημι ναῦς δέ ὑπείκω ἀνάγκη,,,,,,,,,,,,,,,,,,,,,,,,,,
2279377,16.306-16.307,[16.306] ἔνθα δ᾽ ἀνὴρ ἕλεν ἄνδρα κεδασθείσης ὑσμίνης [16.307] ἡγεμόνων.,Then man slew man of the chieftains as the fight was scattered.,ἔνθα δέ ἀνήρ αἱρέω ἀνήρ κεδάννυμι ὑσμίνη ἡγεμών,,,,,,,,,,,,,,,,,,,,,,,,,,
2279378,16.307-16.309,"[16.307] πρῶτος δὲ Μενοιτίου ἄλκιμος υἱὸς [16.308] αὐτίκ᾽ ἄρα στρεφθέντος Ἀρηϊλύκου βάλε μηρὸν [16.309] ἔγχεϊ ὀξυόεντι, διὰ πρὸ δὲ χαλκὸν ἔλασσε:","First the valiant son of Menoetius smote the thigh of Areilycus with a cast of his sharp spear at the moment when he turned to flee, and drave the bronze clean through;",πρῶτος δέ Μενοίτιος ἄλκιμος υἱός αὐτίκα ἄρα στρέφω Ἀρηίλυκος βάλλω μηρός ἔγχος ὀξυόεις διά πρό δέ χαλκός ἐλαύνω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279379,16.310-16.311,"[16.310] ῥῆξεν δ᾽ ὀστέον ἔγχος, ὃ δὲ πρηνὴς ἐπὶ γαίῃ [16.311] κάππεσ᾽:","and the spear brake the bone, and he fell on his face on the ground.",ῥήγνυμι δέ ὀστέον ἔγχος ὁ δέ πρηνής ἐπί γαῖα καταπίπτω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279380,16.311-16.312,"[16.311] ἀτὰρ Μενέλαος ἀρήϊος οὖτα Θόαντα [16.312] στέρνον γυμνωθέντα παρ᾽ ἀσπίδα, λῦσε δὲ γυῖα.","And warlike Menelaus thrust and smote Thoas on the breast, where it was left bare beside the shield, and loosed his limbs.",ἀτάρ Μενέλαος ἄρειος οὐτάω Θόας στέρνον γυμνόω παρά ἀσπίς λύω δέ γυῖον,,,,,,,,,,,,,,,,,,,,,,,,,,
2279381,16.313-16.315,"[16.313] Φυλεΐδης δ᾽ Ἄμφικλον ἐφορμηθέντα δοκεύσας [16.314] ἔφθη ὀρεξάμενος πρυμνὸν σκέλος, ἔνθα πάχιστος [16.315] μυὼν ἀνθρώπου πέλεται:","And the son of Phyleus as he watched Amphiclus that was rushing upon him, proved quicker than his foe, and smote him upon the base of the leg, where a man's muscle is thickest;",Φυλείδης δέ Ἄμφικλος ἐφορμάω δοκεύω φθάνω ὀρέγω πρυμνός σκέλος ἔνθα παχύς μυών ἄνθρωπος πέλω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279382,16.315-16.316,[16.315] περὶ δ᾽ ἔγχεος αἰχμῇ [16.316] νεῦρα διεσχίσθη:,and round about the spear-point the sinews were rent apart;,περί δέ ἔγχος αἰχμή νεῦρον διασχίζω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279383,16.316,[16.316] τὸν δὲ σκότος ὄσσε κάλυψε.,and darkness enfolded his eyes.,ὁ δέ σκότος ὄσσα καλύπτω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279384,16.317-16.318,"[16.317] Νεστορίδαι δ᾽ ὃ μὲν οὔτασ᾽ Ἀτύμνιον ὀξέϊ δουρὶ [16.318] Ἀντίλοχος, λαπάρης δὲ διήλασε χάλκεον ἔγχος: [0]","Then of the sons of Nestor, the one, Antilochus, thrust at Atymnius with his sharp spear, and drave the spear of bronze through his flank;",Νεστορίδης δέ ὁ μέν οὐτάζω Ἀτύμνιος ὀξύς δόρυ Ἀντίλοχος λαπάρα δέ διελαύνω χάλκεος ἔγχος,,,,,,,,,,,,,,,,,,,,,,,,,,
2279385,16.319,[16.319] ἤριπε δὲ προπάροιθε.,and he fell forward.,ἐρείπω δέ προπάροιθε,,,,,,,,,,,,,,,,,,,,,,,,,,
2279386,16.319-16.321,[16.319] Μάρις δ᾽ αὐτοσχεδὰ δουρὶ [16.320] Ἀντιλόχῳ ἐπόρουσε κασιγνήτοιο χολωθεὶς [16.321] στὰς πρόσθεν νέκυος:,"But Maris, hard at hand, rushed upon Antilochus with his spear, wroth for his brother's sake, and took his stand before the dead;",Μάρις δέ αὐτοσχεδόν δόρυ Ἀντίλοχος ἐπορούω κασίγνητος χολόω ἵστημι πρόσθεν νέκυς,,,,,,,,,,,,,,,,,,,,,,,,,,
2279387,16.321-16.323,"[16.321] τοῦ δ᾽ ἀντίθεος Θρασυμήδης [16.322] ἔφθη ὀρεξάμενος πρὶν οὐτάσαι, οὐ δ᾽ ἀφάμαρτεν, [16.323] ὦμον ἄφαρ:","howbeit godlike Thrasymedes was too quick for him, and forthwith ere his foe could thrust, smote upon his shoulder, and missed not;",ὁ δέ ἀντίθεος Θρασυμήδης φθάνω ὀρέγω πρίν οὐτάζω οὐ δέ ἀφαμαρτάνω ὦμος ἄφαρ,,,,,,,,,,,,,,,,,,,,,,,,,,
2279388,16.323-16.324,"[16.323] πρυμνὸν δὲ βραχίονα δουρὸς ἀκωκὴ [16.324] δρύψ᾽ ἀπὸ μυώνων, ἀπὸ δ᾽ ὀστέον ἄχρις ἄραξε:","but the point of the spear shore the base of the arm away from the muscles, and utterly brake asunder the bone;",πρυμνός δέ βραχίων δόρυ ἀκωκή δρύπτω ἀπό μυών ἀπό δέ ὀστέον ἄχρι ἀράσσω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279389,16.325,"[16.325] δούπησεν δὲ πεσών, κατὰ δὲ σκότος ὄσσε κάλυψεν.","and he fell with a thud, and darkness enfolded his eyes.",δουπέω δέ πίπτω κατά δέ σκότος ὄσσα καλύπτω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279390,16.326-16.329,"[16.326] ὣς τὼ μὲν δοιοῖσι κασιγνήτοισι δαμέντε [16.327] βήτην εἰς Ἔρεβος Σαρπηδόνος ἐσθλοὶ ἑταῖροι [16.328] υἷες ἀκοντισταὶ Ἀμισωδάρου, ὅς ῥα Χίμαιραν [16.329] θρέψεν ἀμαιμακέτην πολέσιν κακὸν ἀνθρώποισιν. [0]","So these twain, overcome by twain brethren, went their way to Erebus, goodly comrades of Sarpedon, spearmen sons of Araisodarus, him that reared the raging Chimaera, a bane to many men.",ὡς ὁ μέν δοιοί κασίγνητος δαμάζω βαίνω εἰς Ἔρεβος Σαρπηδών ἐσθλός ἑταῖρος υἱός ἀκοντιστής Ἀμισώδαρος ὅς ἄρα Χίμαιρα τρέφω ἀμαιμάκετος πολύς κακός ἄνθρωπος,,,,,,,,,,,,,,,,,,,,,,,,,,
2279391,16.330-16.331,[16.330] Αἴας δὲ Κλεόβουλον Ὀϊλιάδης ἐπορούσας [16.331] ζωὸν ἕλε βλαφθέντα κατὰ κλόνον:,"And Aias, son of Oileus, leapt upon Cleobulus, and caught him alive, entangled in the throng;",Αἴας δέ Κλεόβουλος Ὀιλιάδης ἐπορούω ζωός αἱρέω βλάπτω κατά κλόνος,,,,,,,,,,,,,,,,,,,,,,,,,,
2279392,16.331-16.332,[16.331] ἀλλά οἱ αὖθι [16.332] λῦσε μένος πλήξας ξίφει αὐχένα κωπήεντι.,"but even there he loosed his might, smiting him upon the neck with his hilted sword.",ἀλλά ἕ αὖθι λύω μένος πλήσσω ξίφος αὐχήν κωπήεις,,,,,,,,,,,,,,,,,,,,,,,,,,
2279393,16.333,[16.333] πᾶν δ᾽ ὑπεθερμάνθη ξίφος αἵματι:,"Thereat all the blade grew warm with his blood,",πᾶς δέ ὑποθερμαίνω ξίφος αἷμα,,,,,,,,,,,,,,,,,,,,,,,,,,
2279394,16.333-16.334,[16.333] τὸν δὲ κατ᾽ ὄσσε [16.334] ἔλλαβε πορφύρεος θάνατος καὶ μοῖρα κραταιή.,and down over his eyes came dark death and mighty fate.,ὁ δέ κατά ὄσσα λαμβάνω πορφύρεος θάνατος καί μοῖρα κραταιός,,,,,,,,,,,,,,,,,,,,,,,,,,
2279395,16.335,[16.335] Πηνέλεως δὲ Λύκων τε συνέδραμον:,"Then Peneleos and Lyco rushed together,",Πηνέλεως δέ Λύκων τε συντρέχω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279396,16.335-16.336,"[16.335] ἔγχεσι μὲν γὰρ [16.336] ἤμβροτον ἀλλήλων, μέλεον δ᾽ ἠκόντισαν ἄμφω:","for with their spears either had missed the other, and both had cast in vain;",ἔγχος μέν γάρ ἁμαρτάνω ἀλλήλων μέλεος δέ ἀκοντίζω ἄμφω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279397,16.337,[16.337] τὼ δ᾽ αὖτις ξιφέεσσι συνέδραμον.,but again they rushed together with their swords.,ὁ δέ αὖθις ξίφος συντρέχω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279398,16.337-16.339,"[16.337] ἔνθα Λύκων μὲν [16.338] ἱπποκόμου κόρυθος φάλον ἤλασεν, ἀμφὶ δὲ καυλὸν [16.339] φάσγανον ἐρραίσθη:","Then Lyco let drive upon the horn of the helm with horse-hair crest, and the sword was shattered at the hilt;",ἔνθα Λύκων μέν ἱππόκομος κόρυς φάλος ἐλαύνω ἀμφί δέ καυλός φάσγανον ῥαίω,,,,,,,,,,,,,,,,,,,,,,,,,,
2279399,16.339-16.341,"[16.339] ὃ δ᾽ ὑπ᾽ οὔατος αὐχένα θεῖνε [16.340] Πηνέλεως, πᾶν δ᾽ εἴσω ἔδυ ξίφος, ἔσχεθε δ᾽ οἶον [16.341] δέρμα, παρηέρθη δὲ κάρη, ὑπέλυντο δὲ γυῖα.","but Peneleos smote him upon the neck beneath the ear, and all the blade sank in, so that naught but the skin held fast, and the head hung to one side, and his limbs were loosed.",ὁ δέ ὑπό οὖς αὐχήν θείνω Πηνέλεως πᾶς δέ εἴσω δύω2 ξίφος ἔχω δέ οἶος δέρμα παραείρω δέ κάρα ὑπολύω δέ γυῖον,,,,,,,,,,,,,,,,,,,,,,,,,,
2279400,16.342-16.343,[16.342] Μηριόνης δ᾽ Ἀκάμαντα κιχεὶς ποσὶ καρπαλίμοισι [16.343] νύξ᾽ ἵππων ἐπιβησόμενον κατὰ δεξιὸν ὦμον:,"And Meriones with swift strides overtook Acamas, and thrust and smote him, even as he was mounting his car, upon the right shoulder;",Μηριόνης δέ Ἀκάμας κιχάνω πούς καρπάλιμος νύσσω ἵππος ἐπιβαίνω κατά δεξιός ὦμος,,,,,,,,,,,,,,,,,,,,,,,,,,
2279401,16.344,"[16.344] ἤριπε δ᾽ ἐξ ὀχέων, κατὰ δ᾽ ὀφθαλμῶν κέχυτ᾽ ἀχλύς.",and he fell from his car and down over his eyes a mist was shed.,ἐρείπω δέ ἐκ ὄχος κατά δέ ὀφθαλμός χέω ἀχλύς,,,,,,,,,,,,,,,,,,,,,,,,,,
