Serial # in Treebank,Citation,Greek text,English,Lemmas
2187925,9.376-9.377,"[9.376] ἔπεσσι δὲ πάντας ἑταίρους [9.377] θάρσυνον, μή τίς μοι ὑποδείσας ἀναδύη.","and heartened all my comrades with cheering words, that I might see no man flinch through fear.",ἔπος δέ πᾶς ἑταῖρος θαρσύνω μή τις ἐγώ ὑποδείδω ἀναδύνω
2187926,9.378-9.381,"[9.378] ἀλλ᾽ ὅτε δὴ τάχ᾽ ὁ μοχλὸς ἐλάινος ἐν πυρὶ μέλλεν [9.379] ἅψεσθαι, χλωρός περ ἐών, διεφαίνετο δ᾽ αἰνῶς, [9.380] καὶ τότ᾽ ἐγὼν ἆσσον φέρον ἐκ πυρός, ἀμφὶ δ᾽ ἑταῖροι [9.381] ἵσταντ᾽:","But when presently that stake of olive-wood was about to catch fire, green though it was, and began to glow terribly, then verily I drew nigh, bringing the stake from the fire, and my comrades stood round me",ἀλλά ὅτε δή τάχα ὁ μοχλός ἐλάινος ἐν πῦρ μέλλω ἅπτω χλωρός πέρ εἰμί διαφαίνω δέ αἰνός καί τότε ἐγώ ἆσσον φέρω ἐκ πῦρ ἀμφί δέ ἑταῖρος ἵστημι
2187927,9.381,[9.381] αὐτὰρ θάρσος ἐνέπνευσεν μέγα δαίμων.,and a god breathed into us great courage.,ἀτάρ θάρσος ἐμπνέω μέγας δαίμων
2187928,9.382-9.383,"[9.382] οἱ μὲν μοχλὸν ἑλόντες ἐλάινον, ὀξὺν ἐπ᾽ ἄκρῳ, [9.383] ὀφθαλμῷ ἐνέρεισαν:","They took the stake of olive-wood, sharp at the point, and thrust it into his eye,",ὁ μέν μοχλός αἱρέω ἐλάινος ὀξύς ἐπί ἄκρον ὀφθαλμός ἐνερείδω
2187929,9.383-9.386,"[9.383] ἐγὼ δ᾽ ἐφύπερθεν ἐρεισθεὶς [9.384] δίνεον, ὡς ὅτε τις τρυπῷ δόρυ νήιον ἀνὴρ [9.385] τρυπάνῳ, οἱ δέ τ᾽ ἔνερθεν ὑποσσείουσιν ἱμάντι [9.386] ἁψάμενοι ἑκάτερθε, τὸ δὲ τρέχει ἐμμενὲς αἰεί. [0]","while I, throwing my weight upon it from above, whirled it round, as when a man bores a ship's timber with a drill, while those below keep it spinning with the thong, which they lay hold of by either end, and the drill runs around unceasingly.",ἐγώ δέ ἐφύπερθε ἐρείδω δινεύω ὡς ὅτε τις τρυπάω δόρυ νήιος ἀνήρ τρύπανον ὁ δέ τε ἔνερθε ὑποσείω ἱμάς ἅπτω ἑκάτερθε ὁ δέ τρέχω ἐμμενής ἀεί
2187930,9.387-9.388,"[9.387] ὣς τοῦ ἐν ὀφθαλμῷ πυριήκεα μοχλὸν ἑλόντες [9.388] δινέομεν, τὸν δ᾽ αἷμα περίρρεε θερμὸν ἐόντα.","Even so we took the fiery-pointed stake and whirled it around in his eye, and the blood flowed around the heated thing.",ὡς ὁ ἐν ὀφθαλμός πυριηκής μοχλός αἱρέω δινεύω ὁ δέ αἷμα περιρρέω θερμός εἰμί
2187931,9.389-9.390,"[9.389] πάντα δέ οἱ βλέφαρ᾽ ἀμφὶ καὶ ὀφρύας εὗσεν ἀυτμὴ [9.390] γλήνης καιομένης, σφαραγεῦντο δέ οἱ πυρὶ ῥίζαι.","And his eyelids wholly and his brows round about did the flame singe as the eyeball burned, and its roots crackled in the fire.",πᾶς δέ ἕ βλέφαρον ἀμφί καί ὀφρύς εὕω ἀυτμή γλήνη καίω σφαραγέομαι δέ ἕ πῦρ ῥίζα
2187932,9.391-9.393,[9.391] ὡς δ᾽ ὅτ᾽ ἀνὴρ χαλκεὺς πέλεκυν μέγαν ἠὲ σκέπαρνον [9.392] εἰν ὕδατι ψυχρῷ βάπτῃ μεγάλα ἰάχοντα [9.393] φαρμάσσων: [0],And as when a smith dips a great axe or an adze in cold water amid loud hissing to temper it—,ὡς δέ ὅτι2 ἀνήρ χαλκεύς πέλεκυς μέγας ἠέ σκέπαρνον ἐν ὕδωρ ψυχρός βάπτω μέγας ἰάχω φαρμάσσω
2187933,9.393-9.394,[9.393] τὸ γὰρ αὖτε σιδήρου γε κράτος ἐστίν [9.394] ὣς τοῦ σίζ᾽ ὀφθαλμὸς ἐλαϊνέῳ περὶ μοχλῷ.,for therefrom comes the strength of iron— even so did his eye hiss round the stake of olive-wood.,ὁ γάρ αὖτε σίδηρος γε κράτος εἰμί ὡς ὁ σίζω ὀφθαλμός ἐλαίνεος περί μοχλός
2187934,9.395-9.396,"[9.395] σμερδαλέον δὲ μέγ᾽ ᾤμωξεν, περὶ δ᾽ ἴαχε πέτρη, [9.396] ἡμεῖς δὲ δείσαντες ἀπεσσύμεθ᾽:","Terribly then did he cry aloud, and the rock rang around; and we, seized with terror, shrank back,",σμερδαλέος δέ μέγας οἰμώζω περί δέ ἰάχω πέτρα ἐγώ δέ δείδω ἀποσεύω
2187935,9.396-9.397,[9.396] αὐτὰρ ὁ μοχλὸν [9.397] ἐξέρυσ᾽ ὀφθαλμοῖο πεφυρμένον αἵματι πολλῷ.,"while he wrenched from his eye the stake, all befouled with blood,",ἀτάρ ὁ μοχλός ἐξερύω ὀφθαλμός φύρω αἷμα πολύς
2187936,9.398-9.400,"[9.398] τὸν μὲν ἔπειτ᾽ ἔρριψεν ἀπὸ ἕο χερσὶν ἀλύων, [9.399] αὐτὰρ ὁ Κύκλωπας μεγάλ᾽ ἤπυεν, οἵ ῥά μιν ἀμφὶς [9.400] ᾤκεον ἐν σπήεσσι δι᾽ ἄκριας ἠνεμοέσσας.","and flung it from him, wildly waving his arms. Then he called aloud to the Cyclopes, who dwelt round about him in caves among the windy heights,",ὁ μέν ἔπειτα ῥίπτω ἀπό ἕ χείρ ἀλύω ἀτάρ ὁ Κύκλωψ μέγας ἠπύω ὅς ἄρα μιν ἀμφίς οἰκέω ἐν σπέος διά ἄκρις ἠνεμόεις
2187937,9.401-9.402,"[9.401] οἱ δὲ βοῆς ἀίοντες ἐφοίτων ἄλλοθεν ἄλλος, [9.402] ἱστάμενοι δ᾽ εἴροντο περὶ σπέος ὅττι ἑ κήδοι:","and they heard his cry and came thronging from every side, and standing around the cave asked him what ailed him:",ὁ δέ βοή ἀίω φοιτάω ἄλλοθεν ἄλλος ἵστημι δέ ἔρομαι περί σπέος οτηερ ἕ κήδω
2187938,9.403-9.404,"&#34;᾽ [9.403] τίπτε τόσον, Πολύφημ᾽, ἀρημένος ὧδ᾽ ἐβόησας [9.404] νύκτα δι᾽ ἀμβροσίην καὶ ἀύπνους ἄμμε τίθησθα;","What so sore distress is thine, Polyphemus, that thou criest out thus through the immortal night, and makest us sleepless?",οτηερ τίπτε τόσος Πολύφημος ἀράω2 ὧδε βοάω νύξ διά ἀμβρόσιος καί ἄυπνος ἐγώ τίθημι
2187939,9.405,[9.405] ἦ μή τίς σευ μῆλα βροτῶν ἀέκοντος ἐλαύνει;,"Can it be that some mortal man is driving off thy flocks against thy will,",ἦ μή τις σύ μῆλον βροτός ἀέκων ἐλαύνω
2187940,9.406,[9.406] ἦ μή τίς σ᾽ αὐτὸν κτείνει δόλῳ ἠὲ βίηφιν;&#34;,or slaying thee thyself by guile or by might?,ἦ μή τις σύ αὐτός κτείνω δόλος ἤ βία
2187941,9.407,&#34; [9.407] τοὺς δ᾽ αὖτ᾽ ἐξ ἄντρου προσέφη κρατερὸς Πολύφημος:,Then from out the cave the mighty Polyphemus answered them:,ὁ δέ αὖτε ἐκ ἄντρον πρόσφημι κρατερός Πολύφημος
2187942,9.408,"᾽ [9.408] ὦ φίλοι, Οὖτίς με κτείνει δόλῳ οὐ δὲ βίηφιν.","My friends, it is Noman that is slaying me by guile and not by force.",θυοτε ὦ φίλος Οὖτις ἐγώ κτείνω δόλος οὐ δέ βία
2187944,9.409,&#34; [9.409] οἱ δ᾽ ἀπαμειβόμενοι ἔπεα πτερόεντ᾽ ἀγόρευον:,And they made answer and addressed him with winged words:,ὁ δέ ἀπαμείβομαι ἔπος πτερόεις ἀγορεύω
2187945,9.410-9.412,"[9.410] εἰ μὲν δὴ μή τίς σε βιάζεται οἶον ἐόντα, [9.411] νοῦσον γ᾽ οὔ πως ἔστι Διὸς μεγάλου ἀλέασθαι, [9.412] ἀλλὰ σύ γ᾽ εὔχεο πατρὶ Ποσειδάωνι ἄνακτι.","If, then, no man does violence to thee in thy loneliness, sickness which comes from great Zeus thou mayest in no wise escape. Nay, do thou pray to our father, the lord Poseidon.",εἰ μέν δή μή τις σύ βιάζω οἶος εἰμί νόσος γε οὐ πως εἰμί Ζεύς μέγας ἀλέω ἀλλά σύ γε εὔχομαι πατήρ Ποσειδεών ἄναξ
2187946,9.413-9.414,"᾽&#34; [9.413] ὣς ἄρ᾽ ἔφαν ἀπιόντες, ἐμὸν δ᾽ ἐγέλασσε φίλον κῆρ, [9.414] ὡς ὄνομ᾽ ἐξαπάτησεν ἐμὸν καὶ μῆτις ἀμύμων.",So they spoke and went their way; and my heart laughed within me that my name and cunning device had so beguiled.,θυοτε θυοτε ὡς ἄρα φημί ἄπειμι2 ἐμός δέ γελάω φίλος κῆρ ὡς ὄνομα ἐξαπατάω ἐμός καί μῆτις ἀμύμων
2187947,9.415-9.418,"[9.415] Κύκλωψ δὲ στενάχων τε καὶ ὠδίνων ὀδύνῃσι [9.416] χερσὶ ψηλαφόων ἀπὸ μὲν λίθον εἷλε θυράων, [9.417] αὐτὸς δ᾽ εἰνὶ θύρῃσι καθέζετο χεῖρε πετάσσας, [9.418] εἴ τινά που μετ᾽ ὄεσσι λάβοι στείχοντα θύραζε:","But the Cyclops, groaning and travailing in anguish, groped with his hands and took away the stone from the door, and himself sat in the doorway with arms outstretched in the hope of catching anyone who sought to go forth with the sheep—",Κύκλωψ δέ στενάχω τε καί ὠδίνω ὀδύνη χείρ ψηλαφάω ἀπό μέν λίθος αἱρέω θύρα αὐτός δέ ἐν θύρα καθέζομαι χείρ πετάννυμι εἰ τις πού μετά ὄις λαμβάνω στείχω θύραζε
2187948,9.419,[9.419] οὕτω γάρ πού μ᾽ ἤλπετ᾽ ἐνὶ φρεσὶ νήπιον εἶναι.,"so witless, forsooth, he thought in his heart to find me.",οὕτως γάρ πού ἐγώ ἔλπω ἐν φρήν νήπιος εἰμί
2187949,9.420-9.422,"[9.420] αὐτὰρ ἐγὼ βούλευον, ὅπως ὄχ᾽ ἄριστα γένοιτο, [9.421] εἴ τιν᾽ ἑταίροισιν θανάτου λύσιν ἠδ᾽ ἐμοὶ αὐτῷ [9.422] εὑροίμην:","But I took counsel how all might be the very best, if I might haply find some way of escape from death for my comrades and for myself.",ἀτάρ ἐγώ βουλεύω ὅπως ὄχα ἄριστος γίγνομαι εἰ τις ἑταῖρος θάνατος λύσις ἠδέ ἐγώ αὐτός εὑρίσκω
2187950,9.422-9.423,[9.422] πάντας δὲ δόλους καὶ μῆτιν ὕφαινον [9.423] ὥς τε περὶ ψυχῆς: [0],"And I wove all manner of wiles and counsel, as a man will in a matter of life and death;",πᾶς δέ δόλος καί μῆτις ὑφαίνω ὡς τε περί ψυχή
2187951,9.423,[9.423] μέγα γὰρ κακὸν ἐγγύθεν ἦεν.,for great was the evil that was nigh us.,μέγας γάρ κακός ἐγγύθεν εἰμί
2187952,9.424,[9.424] ἥδε δέ μοι κατὰ θυμὸν ἀρίστη φαίνετο βουλή.,And this seemed to my mind the best plan.,ὅδε δέ ἐγώ κατά θυμός ἄριστος φαίνω βουλή
2187953,9.425-9.426,"[9.425] ἄρσενες ὄιες ἦσαν ἐυτρεφέες, δασύμαλλοι, [9.426] καλοί τε μεγάλοι τε, ἰοδνεφὲς εἶρος ἔχοντες:","Rams there were, well-fed and thick of fleece, fine beasts and large, with wool dark as the violet.",ἄρσην ὄις εἰμί εὐτρεφής δασύμαλλος καλός τε μέγας τε ἰοδνεφής εἶρος ἔχω
2187954,9.427-9.429,"[9.427] τοὺς ἀκέων συνέεργον ἐυστρεφέεσσι λύγοισιν, [9.428] τῇς ἔπι Κύκλωψ εὗδε πέλωρ, ἀθεμίστια εἰδώς, [9.429] σύντρεις αἰνύμενος: [0]","These I silently bound together with twisted withes on which the Cyclops, that monster with his heart set on lawlessness, was wont to sleep. Three at a time I took.",ὁ ἀκέων συνέργω ἐυστρεφής λύγος ὁ ἐπί Κύκλωψ εὕδω πέλωρ ἀθεμίστιος οἶδα σύντρεις αἴνυμαι
2187955,9.429-9.430,"[9.429] ὁ μὲν ἐν μέσῳ ἄνδρα φέρεσκε, [9.430] τὼ δ᾽ ἑτέρω ἑκάτερθεν ἴτην σώοντες ἑταίρους.","The one in the middle in each case bore a man, and the other two went, one on either side, saving my comrades.",ὁ μέν ἐν μέσος ἀνήρ φέρω ὁ δέ ἕτερος ἑκάτερθε εἶμι σώω ἑταῖρος
2187956,9.431,[9.431] τρεῖς δὲ ἕκαστον φῶτ᾽ ὄιες φέρον:,Thus every three sheep bore a man.,τρεῖς δέ ἕκαστος φώς ὄις φέρω
2187957,9.431-9.434,"[9.431] αὐτὰρ ἐγώ γε- [9.432] ἀρνειὸς γὰρ ἔην μήλων ὄχ᾽ ἄριστος ἁπάντων, [9.433] τοῦ κατὰ νῶτα λαβών, λασίην ὑπὸ γαστέρ᾽ ἐλυσθεὶς [9.434] κείμην:","But as for me—there was a ram, far the best of all the flock; him I grasped by the back, and curled beneath his shaggy belly, lay there face upwards,",ἀτάρ ἐγώ γε ηψπηεν ἀρνειός γάρ εἰμί μῆλον ὄχα ἄριστος ἅπας ὁ κατά νῶτον λαμβάνω λάσιος ὑπό γαστήρ ἐλύω κεῖμαι
2187958,9.434-9.435,[9.434] αὐτὰρ χερσὶν ἀώτου θεσπεσίοιο [9.435] νωλεμέως στρεφθεὶς ἐχόμην τετληότι θυμῷ.,clinging fast with my hands to his wondrous fleece with steadfast heart.,ἀτάρ χείρ ἄωτον θεσπέσιος νωλεμές στρέφω ἔχω τλάω θυμός
2187959,9.436,[9.436] ὣς τότε μὲν στενάχοντες ἐμείναμεν Ἠῶ δῖαν.,"So then, with wailing, we waited for the bright dawn.",ὡς τότε μέν στενάχω μένω ἠώς δῖος
2187960,9.437-9.439,"&#34; [9.437] ἦμος δ᾽ ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς, [9.438] καὶ τότ᾽ ἔπειτα νομόνδ᾽ ἐξέσσυτο ἄρσενα μῆλα, [9.439] θήλειαι δὲ μέμηκον ἀνήμελκτοι περὶ σηκούς:","As soon as early Dawn appeared, the rosy-fingered, then the males of the flock hastened forth to pasture and the females bleated unmilked about the pens,",ἦμος δέ ἠριγένεια φαίνω ῥοδοδάκτυλος ἠώς καί τότε ἔπειτα νομόνδε ἐκσεύομαι ἄρσην μῆλον θῆλυς δέ μηκάομαι ἀνήμελκτος περί σηκός
2187961,9.44,[9.440] οὔθατα γὰρ σφαραγεῦντο.,for their udders were bursting.,οὖθαρ γάρ σφαραγέομαι
2187962,9.440-9.442,[9.440] ἄναξ δ᾽ ὀδύνῃσι κακῇσι [9.441] τειρόμενος πάντων ὀίων ἐπεμαίετο νῶτα [9.442] ὀρθῶν ἑσταότων:,"And their master, distressed with grievous pains, felt along the backs of all the sheep as they stood up before him,",ἄναξ δέ ὀδύνη κακός τείρω πᾶς ὄις ἐπιμαίομαι νῶτον ὀρθός ἵστημι
2187963,9.442-9.443,"[9.442] τὸ δὲ νήπιος οὐκ ἐνόησεν, [9.443] ὥς οἱ ὑπ᾽ εἰροπόκων ὀίων στέρνοισι δέδεντο.","but in his folly he marked not this, that my men were bound beneath the breasts of his fleecy sheep.",ὁ δέ νήπιος οὐ νοέω ὡς ὁ ὑπό εἰροπόκος ὄις στέρνον δέω
2187964,9.444-9.445,[9.444] ὕστατος ἀρνειὸς μήλων ἔστειχε θύραζε [9.445] λάχνῳ στεινόμενος καὶ ἐμοὶ πυκινὰ φρονέοντι.,"Last of all the flock the ram went forth, burdened with the weight of his fleece and my cunning self.",ὕστερος ἀρνειός μῆλον στείχω θύραζε λάχνος στείνω καί ἐγώ πυκνός φρονέω
2187965,9.446,[9.446] τὸν δ᾽ ἐπιμασσάμενος προσέφη κρατερὸς Πολύφημος:,"And mighty Polyphemus, as he felt along his back, spoke to him, saying:",ὁ δέ ἐπιμαίομαι πρόσφημι κρατερός Πολύφημος
2187966,9.447-9.448,"&#34;᾽ [9.447] κριὲ πέπον, τί μοι ὧδε διὰ σπέος ἔσσυο μήλων [9.448] ὕστατος;","Good ram, why pray is it that thou goest forth thus through the cave the last of the flock?",οτηερ κριός πέπων τις ἐγώ ὧδε διά σπέος σεύω μῆλον ὕστερος
2187967,9.448-9.452,"[9.448] οὔ τι πάρος γε λελειμμένος ἔρχεαι οἰῶν, [9.449] ἀλλὰ πολὺ πρῶτος νέμεαι τέρεν᾽ ἄνθεα ποίης [9.450] μακρὰ βιβάς, πρῶτος δὲ ῥοὰς ποταμῶν ἀφικάνεις, [9.451] πρῶτος δὲ σταθμόνδε λιλαίεαι ἀπονέεσθαι [9.452] ἑσπέριος:","Thou hast not heretofore been wont to lag behind the sheep, but wast ever far the first to feed on the tender bloom of the grass, moving with long strides, and ever the first didst reach the streams of the river, and the first didst long to return to the fold at evening.",οὐ τις πάρος γε λείπω ἔρχομαι ὄις ἀλλά πολύς πρῶτος νέμω τέρην ἄνθος πόα μακρός βίβημι πρῶτος δέ ῥοή ποταμός ἀφικάνω πρῶτος δέ σταθμόνδε λιλαίομαι ἀπονέομαι ἑσπέριος
2187968,9.452,[9.452] νῦν αὖτε πανύστατος. [0],But now thou art last of all.,νῦν αὖτε πανύστατος
2187969,9.452-9.455,"[9.452] ἦ σύ γ᾽ ἄνακτος [9.453] ὀφθαλμὸν ποθέεις, τὸν ἀνὴρ κακὸς ἐξαλάωσε [9.454] σὺν λυγροῖς ἑτάροισι δαμασσάμενος φρένας οἴνῳ, [9.455] Οὖτις, ὃν οὔ πώ φημι πεφυγμένον εἶναι ὄλεθρον.","Surely thou art sorrowing for the eye of thy master, which an evil man blinded along with his miserable fellows, when he had overpowered my wits with wine, even Noman, who, I tell thee, has not yet escaped destruction.",ἦ σύ γε ἄναξ ὀφθαλμός ποθέω ὁ ἀνήρ κακός ἐξαλαόω σύν λυγρός ἑταῖρος δαμάζω φρήν οἶνος Οὖτις ὅς οὐ πω φημί φεύγω εἰμί ὄλεθρος
2187970,9.456-9.457,[9.456] εἰ δὴ ὁμοφρονέοις ποτιφωνήεις τε γένοιο [9.457] εἰπεῖν ὅππῃ κεῖνος ἐμὸν μένος ἠλασκάζει:,"If only thou couldst feel as I do, and couldst get thee power of speech to tell me where he skulks away from my wrath,",εἰ δή ὁμοφρονέω προσφωνήεις τε γίγνομαι εἶπον ὅπη ἐκεῖνος ἐμός μένος ἠλασκάζω
2187971,9.458-9.460,"[9.458] τῷ κέ οἱ ἐγκέφαλός γε διὰ σπέος ἄλλυδις ἄλλῃ [9.459] θεινομένου ῥαίοιτο πρὸς οὔδεϊ, κὰδ δέ κ᾽ ἐμὸν κῆρ [9.460] λωφήσειε κακῶν, τά μοι οὐτιδανὸς πόρεν Οὖτις. [0]","then should his brains be dashed on the ground here and there throughout the cave, when I had smitten him, and my heart should be lightened of the woes which good-for-naught Noman has brought me.",τῷ ἄν ἕ ἐγκέφαλος γε διά σπέος ἄλλυδις ἄλλῃ θείνω ῥαίω πρός οὖδας κατά δέ ἄν ἐμός κῆρ λωφάω κακός ὁ ἐγώ οὐτιδανός πόρω Οὖτις
2187973,9.461,&#34; [9.461] ὣς εἰπὼν τὸν κριὸν ἀπὸ ἕο πέμπε θύραζε.,"So saying, he sent the ram forth from him.",ὡς εἶπον ὁ κριός ἀπό ἕ πέμπω θύραζε
2187974,9.462-9.463,"[9.462] ἐλθόντες δ᾽ ἠβαιὸν ἀπὸ σπείους τε καὶ αὐλῆς [9.463] πρῶτος ὑπ᾽ ἀρνειοῦ λυόμην, ὑπέλυσα δ᾽ ἑταίρους.","And when we had gone a little way from the cave and the court, I first loosed myself from under the ram and set my comrades free.",ἔρχομαι δέ ἠβαιός ἀπό σπεῖος τε καί αὐλή πρῶτος ὑπό ἀρνειός λύω ὑπολύω δέ ἑταῖρος
2187975,9.464-9.466,"[9.464] καρπαλίμως δὲ τὰ μῆλα ταναύποδα, πίονα δημῷ, [9.465] πολλὰ περιτροπέοντες ἐλαύνομεν, ὄφρ᾽ ἐπὶ νῆα [9.466] ἱκόμεθ᾽.","Speedily then we drove off those long-shanked sheep, rich with fat, turning full often to look about until we came to the ship.",καρπάλιμος δέ ὁ μῆλον ταναύπους πίων δημός πολύς περιτροπέω ἐλαύνω ὄφρα ἐπί ναῦς ἱκνέομαι
2187976,9.466-9.467,"[9.466] ἀσπάσιοι δὲ φίλοις ἑτάροισι φάνημεν, [9.467] οἳ φύγομεν θάνατον, τοὺς δὲ στενάχοντο γοῶντες. [0]","And welcome to our dear comrades was the sight of us who had escaped death, but for the others they wept and wailed;",ἀσπάσιος δέ φίλος ἑταῖρος φαίνω ὅς φεύγω θάνατος ὁ δέ στενάχω γοάω
2187977,9.468-9.470,"[9.468] ἀλλ᾽ ἐγὼ οὐκ εἴων, ἀνὰ δ᾽ ὀφρύσι νεῦον ἑκάστῳ, [9.469] κλαίειν, ἀλλ᾽ ἐκέλευσα θοῶς καλλίτριχα μῆλα [9.470] πόλλ᾽ ἐν νηὶ βαλόντας ἐπιπλεῖν ἁλμυρὸν ὕδωρ. [0]","yet I would not suffer them to weep, but with a frown forbade each man. Rather I bade them to fling on board with speed the many sheep of goodly fleece, and sail over the salt water.",ἀλλά ἐγώ οὐ ἐάω ἀνά δέ ὀφρύς νεύω ἕκαστος κλαίω ἀλλά κελεύω θοός καλλίτριχος μῆλον πολύς ἐν ναῦς βάλλω ἐπιπλέω ἁλμυρός ὕδωρ
2187978,9.471-9.472,"[9.471] οἱ δ᾽ αἶψ᾽ εἴσβαινον καὶ ἐπὶ κληῖσι καθῖζον, [9.472] ἑξῆς δ᾽ ἑζόμενοι πολιὴν ἅλα τύπτον ἐρετμοῖς.","So they went on board straightway and sat down upon the benches, and sitting well in order smote the grey sea with their oars.",ὁ δέ αἶψα εἰσβαίνω καί ἐπί κλείς καθίζω ἑξῆς δέ ἕζομαι πολιός ἅλς τύπτω ἐρετμόν
2187979,9.473-9.474,"[9.473] ἀλλ᾽ ὅτε τόσσον ἀπῆν, ὅσσον τε γέγωνε βοήσας, [9.474] καὶ τότ᾽ ἐγὼ Κύκλωπα προσηύδων κερτομίοισι: [0]","But when I was as far away as a man's voice carries when he shouts, then I spoke to the Cyclops with mocking words:",ἀλλά ὅτε τόσος ἄπειμι ὅσος τε γέγωνα βοάω καί τότε ἐγώ Κύκλωψ προσαυδάω κερτόμιος
2187980,9.475-9.476,"&#34; [9.475] Κύκλωψ, οὐκ ἄρ᾽ ἔμελλες ἀνάλκιδος ἀνδρὸς ἑταίρους [9.476] ἔδμεναι ἐν σπῆι γλαφυρῷ κρατερῆφι βίηφι.","Cyclops, that man, it seems, was no weakling, whose comrades thou wast minded to devour by brutal strength in thy hollow cave.",Κύκλωψ οὐ ἄρα μέλλω ἄναλκις ἀνήρ ἑταῖρος ἔδω ἐν σπέος γλαφυρός κρατερός βία
2187981,9.477-9.479,"[9.477] καὶ λίην σέ γ᾽ ἔμελλε κιχήσεσθαι κακὰ ἔργα, [9.478] σχέτλι᾽, ἐπεὶ ξείνους οὐχ ἅζεο σῷ ἐνὶ οἴκῳ [9.479] ἐσθέμεναι:","Full surely were thy evil deeds to fall on thine own head, thou cruel wretch, who didst not shrink from eating thy guests in thine own house.",καί λίαν σύ γε μέλλω κιχάνω κακός ἔργον σχέτλιος ἐπεί ξένος οὐ ἅζομαι σός ἐν οἶκος ἔσθω
2187982,9.479,[9.479] τῷ σε Ζεὺς τίσατο καὶ θεοὶ ἄλλοι.,"Therefore has Zeus taken vengeance on thee, and the other gods.",τῷ σύ Ζεύς τίνω καί θεός ἄλλος
2187983,9.480-9.484,"᾽&#34; [9.480] ὣς ἐφάμην, ὁ δ᾽ ἔπειτα χολώσατο κηρόθι μᾶλλον, [9.481] ἧκε δ᾽ ἀπορρήξας κορυφὴν ὄρεος μεγάλοιο, [9.482] κὰδ δ᾽ ἔβαλε προπάροιθε νεὸς κυανοπρῴροιο [9.483] τυτθόν, ἐδεύησεν δ᾽ οἰήιον ἄρκον ἱκέσθαι, [9.484] ἐκλύσθη δὲ θάλασσα κατερχομένης ὑπὸ πέτρης:","So I spoke, and he waxed the more wroth at heart, and broke off the peak of a high mountain and hurled it at us, and cast it in front of the dark-prowed ship. 1",θυοτε θυοτε ὡς φημί ὁ δέ ἔπειτα χολόω κηρόθι μᾶλλον ἵημι δέ ἀπορρήγνυμι κορυφή ὄρος μέγας κατά δέ βάλλω προπάροιθε ναῦς κυανόπρῳρος τυτθός δεύω2 δέ οἰήιον οτηερ ἱκνέομαι κλύζω δέ θάλασσα κατέρχομαι ὑπό πέτρα
2187984,9.485-9.486,"[9.485] τὴν δ᾽ αἶψ᾽ ἤπειρόνδε παλιρρόθιον φέρε κῦμα, [9.486] πλημυρὶς ἐκ πόντοιο, θέμωσε δὲ χέρσον ἱκέσθαι.","And the sea surged beneath the stone as it fell, and the backward flow, like a flood from the deep, bore the ship swiftly landwards and drove it upon the shore.",ὁ δέ αἶψα ἤπειρόνδε παλιρρόθιος φέρω κῦμα πλημυρίς ἐκ πόντος θεμόω δέ χέρσος ἱκνέομαι
2187985,9.487-9.490,"[9.487] αὐτὰρ ἐγὼ χείρεσσι λαβὼν περιμήκεα κοντὸν [9.488] ὦσα παρέξ, ἑτάροισι δ᾽ ἐποτρύνας ἐκέλευσα [9.489] ἐμβαλέειν κώπῃς, ἵν᾽ ὑπὲκ κακότητα φύγοιμεν, [9.490] κρατὶ κατανεύων:","But I seized a long pole in my hands and shoved the ship off and along the shore, and with a nod of my head I roused my comrades, and bade them fall to their oars that we might escape out of our evil plight.",ἀτάρ ἐγώ χείρ λαμβάνω περιμήκης κοντός ὠθέω παρέξ ἑταῖρος δέ ἐποτρύνω κελεύω ἐμβάλλω κώπη ἵνα ὑπέκ κακότης φεύγω κράς κατανεύω
2187986,9.49,[9.490] οἱ δὲ προπεσόντες ἔρεσσον.,And they bent to their oars and rowed.,ὁ δέ προπίπτω ἐρέσσω
2187987,9.491-9.492,"[9.491] ἀλλ᾽ ὅτε δὴ δὶς τόσσον ἅλα πρήσσοντες ἀπῆμεν, [9.492] καὶ τότε δὴ Κύκλωπα προσηύδων:","But when, as we fared over the sea, we were twice as far distant, then was I fain to call to the Cyclops,",ἀλλά ὅτε δή δίς τόσος ἅλς πράσσω ἄπειμι καί τότε δή Κύκλωψ προσαυδάω
2187988,9.492-9.493,[9.492] ἀμφὶ δ᾽ ἑταῖροι [9.493] μειλιχίοις ἐπέεσσιν ἐρήτυον ἄλλοθεν ἄλλος:,"though round about me my comrades, one after another, sought to check me with gentle words:",ἀμφί δέ ἑταῖρος μειλίχιος ἔπος ἐρητύω ἄλλοθεν ἄλλος
2187989,9.494,"&#34;᾽ [9.494] σχέτλιε, τίπτ᾽ ἐθέλεις ἐρεθιζέμεν ἄγριον ἄνδρα;","Reckless one, why wilt thou provoke to wrath a savage man,",οτηερ σχέτλιος τις ἐθέλω ἐρεθίζω ἄγριος ἀνήρ
2187990,9.495-9.496,"[9.495] ὃς καὶ νῦν πόντονδε βαλὼν βέλος ἤγαγε νῆα [9.496] αὖτις ἐς ἤπειρον, καὶ δὴ φάμεν αὐτόθ᾽ ὀλέσθαι.","who but now hurled his missile into the deep and drove our ship back to the land, and verily we thought that we had perished there?",ὅς καί νῦν πόντονδε βάλλω βέλος ἄγω ναῦς αὖθις εἰς ἤπειρος καί δή φημί αὐτόθι ὄλλυμι
